ccode,name,num_code,year,age,sex,population
GHA,Ghana,288,2017,31,male,206864.608
GHA,Ghana,288,2017,32,female,213226.84800000003
GHA,Ghana,288,2017,32,male,199902.848
GHA,Ghana,288,2017,33,female,208118.20799999998
GHA,Ghana,288,2017,33,male,193176.128
GHA,Ghana,288,2017,34,female,202587.712
GHA,Ghana,288,2017,34,male,186653.696
GHA,Ghana,288,2017,35,female,197087.04
GHA,Ghana,288,2017,35,male,180243.04
GHA,Ghana,288,2018,15,female,192718.016
GHA,Ghana,288,2018,15,male,201825.21600000001
GHA,Ghana,288,2018,16,female,281682.07999999996
GHA,Ghana,288,2018,16,male,294865.27999999997
GHA,Ghana,288,2018,17,female,339060.16
GHA,Ghana,288,2018,17,male,354527.84
GHA,Ghana,288,2018,18,female,344315.04000000004
GHA,Ghana,288,2018,18,male,359186.24
GHA,Ghana,288,2018,19,female,315684.704
GHA,Ghana,288,2018,19,male,328035.424
GHA,Ghana,288,2018,20,female,298821.28
GHA,Ghana,288,2018,20,male,312040.512
GHA,Ghana,288,2018,21,female,275376.544
GHA,Ghana,288,2018,21,male,287425.952
GHA,Ghana,288,2018,22,female,256957.18399999998
GHA,Ghana,288,2018,22,male,267710.75200000004
GHA,Ghana,288,2018,23,female,251213.504
GHA,Ghana,288,2018,23,male,260744.35199999998
GHA,Ghana,288,2018,24,female,253111.48799999998
GHA,Ghana,288,2018,24,male,261378.43199999997
GHA,Ghana,288,2018,25,female,249910.208
GHA,Ghana,288,2018,25,male,256639.19999999995
GHA,Ghana,288,2018,26,female,244089.92
GHA,Ghana,288,2018,26,male,249150.17599999998
GHA,Ghana,288,2018,27,female,238708.8
GHA,Ghana,288,2018,27,male,241695.77599999998
GHA,Ghana,288,2018,28,female,233999.2
GHA,Ghana,288,2018,28,male,234380.416
GHA,Ghana,288,2018,29,female,229711.872
GHA,Ghana,288,2018,29,male,227174.432
GHA,Ghana,288,2018,30,female,225337.05599999998
GHA,Ghana,288,2018,30,male,219952.8
GHA,Ghana,288,2018,31,female,220942.912
GHA,Ghana,288,2018,31,male,212751.392
GHA,Ghana,288,2018,32,female,216426.912
GHA,Ghana,288,2018,32,male,205695.552
GHA,Ghana,288,2018,33,female,211675.552
GHA,Ghana,288,2018,33,male,198839.072
GHA,Ghana,288,2018,34,female,206717.568
GHA,Ghana,288,2018,34,male,192161.18399999998
GHA,Ghana,288,2018,35,female,201759.04
GHA,Ghana,288,2018,35,male,185584.31999999998
GHA,Ghana,288,2019,15,female,195575.168
GHA,Ghana,288,2019,15,male,204735.96800000002
GHA,Ghana,288,2019,16,female,285840.48000000004
GHA,Ghana,288,2019,16,male,299138.24
GHA,Ghana,288,2019,17,female,344108.32
GHA,Ghana,288,2019,17,male,359689.92000000004
GHA,Ghana,288,2019,18,female,349568.16
GHA,Ghana,288,2019,18,male,364452.32
GHA,Ghana,288,2019,19,female,320687.872
GHA,Ghana,288,2019,19,male,332903.55199999997
GHA,Ghana,288,2019,20,female,304143.19999999995
GHA,Ghana,288,2019,20,male,317469.536
GHA,Ghana,288,2019,21,female,280715.07200000004
GHA,Ghana,288,2019,21,male,292891.776
GHA,Ghana,288,2019,22,female,262214.592
GHA,Ghana,288,2019,22,male,273230.17600000004
GHA,Ghana,288,2019,23,female,256301.152
GHA,Ghana,288,2019,23,male,266399.77599999995
GHA,Ghana,288,2019,24,female,257965.984
GHA,Ghana,288,2019,24,male,267208.736
GHA,Ghana,288,2019,25,female,254499.904
GHA,Ghana,288,2019,25,male,262575.2
GHA,Ghana,288,2019,26,female,248395.52000000002
GHA,Ghana,288,2019,26,male,255145.568
GHA,Ghana,288,2019,27,female,242742.56
GHA,Ghana,288,2019,27,male,247721.568
GHA,Ghana,288,2019,28,female,237798.56
GHA,Ghana,288,2019,28,male,240405.888
GHA,Ghana,288,2019,29,female,233323.45600000003
GHA,Ghana,288,2019,29,male,233171.77599999998
GHA,Ghana,288,2019,30,female,228756.92799999999
GHA,Ghana,288,2019,30,male,225902.88
GHA,Ghana,288,2019,31,female,224135.77599999998
GHA,Ghana,288,2019,31,male,218638.17599999998
GHA,Ghana,288,2019,32,female,219626.976
GHA,Ghana,288,2019,32,male,211488.25599999996
GHA,Ghana,288,2019,33,female,215232.896
GHA,Ghana,288,2019,33,male,204502.016
GHA,Ghana,288,2019,34,female,210847.424
GHA,Ghana,288,2019,34,male,197668.672
GHA,Ghana,288,2019,35,female,206431.04
GHA,Ghana,288,2019,35,male,190925.6
GHA,Ghana,288,2020,15,female,198432.32
GHA,Ghana,288,2020,15,male,207646.72000000003
GHA,Ghana,288,2020,16,female,289998.88
GHA,Ghana,288,2020,16,male,303411.2
GHA,Ghana,288,2020,17,female,349156.48
GHA,Ghana,288,2020,17,male,364852.0
GHA,Ghana,288,2020,18,female,354821.28
GHA,Ghana,288,2020,18,male,369718.39999999997
GHA,Ghana,288,2020,19,female,325691.04
GHA,Ghana,288,2020,19,male,337771.68
GHA,Ghana,288,2020,20,female,309465.11999999994
GHA,Ghana,288,2020,20,male,322898.56
GHA,Ghana,288,2020,21,female,286053.6
GHA,Ghana,288,2020,21,male,298357.6
GHA,Ghana,288,2020,22,female,267472.0
GHA,Ghana,288,2020,22,male,278749.6
GHA,Ghana,288,2020,23,female,261388.80000000002
GHA,Ghana,288,2020,23,male,272055.2
GHA,Ghana,288,2020,24,female,262820.48
GHA,Ghana,288,2020,24,male,273039.04
GHA,Ghana,288,2020,25,female,259089.6
GHA,Ghana,288,2020,25,male,268511.2
GHA,Ghana,288,2020,26,female,252701.12
GHA,Ghana,288,2020,26,male,261140.96000000002
GHA,Ghana,288,2020,27,female,246776.32
GHA,Ghana,288,2020,27,male,253747.36000000002
GHA,Ghana,288,2020,28,female,241597.91999999998
GHA,Ghana,288,2020,28,male,246431.36
GHA,Ghana,288,2020,29,female,236935.04
GHA,Ghana,288,2020,29,male,239169.12
GHA,Ghana,288,2020,30,female,232176.80000000002
GHA,Ghana,288,2020,30,male,231852.96
GHA,Ghana,288,2020,31,female,227328.64
GHA,Ghana,288,2020,31,male,224524.96000000002
GHA,Ghana,288,2020,32,female,222827.04
GHA,Ghana,288,2020,32,male,217280.96
GHA,Ghana,288,2020,33,female,218790.24000000002
GHA,Ghana,288,2020,33,male,210164.96000000002
GHA,Ghana,288,2020,34,female,214977.28
GHA,Ghana,288,2020,34,male,203176.15999999997
GHA,Ghana,288,2020,35,female,211103.03999999998
GHA,Ghana,288,2020,35,male,196266.88
GHA,Ghana,288,2021,15,female,203583.296
GHA,Ghana,288,2021,15,male,213071.456
GHA,Ghana,288,2021,16,female,297590.75200000004
GHA,Ghana,288,2021,16,male,311426.752
GHA,Ghana,288,2021,17,female,358082.112
GHA,Ghana,288,2021,17,male,374218.43200000003
GHA,Ghana,288,2021,18,female,363284.19200000004
GHA,Ghana,288,2021,18,male,378429.792
GHA,Ghana,288,2021,19,female,332559.648
GHA,Ghana,288,2021,19,male,344573.568
GHA,Ghana,288,2021,20,female,315440.92799999996
GHA,Ghana,288,2021,20,male,328939.008
GHA,Ghana,288,2021,21,female,290706.752
GHA,Ghana,288,2021,21,male,302983.008
GHA,Ghana,288,2021,22,female,271284.832
GHA,Ghana,288,2021,22,male,282487.00800000003
GHA,Ghana,288,2021,23,female,265255.712
GHA,Ghana,288,2021,23,male,275871.008
GHA,Ghana,288,2021,24,female,267291.776
GHA,Ghana,288,2021,24,male,277539.96800000005
GHA,Ghana,288,2021,25,female,263978.208
GHA,Ghana,288,2021,25,male,273508.192
GHA,Ghana,288,2021,26,female,257989.984
GHA,Ghana,288,2021,26,male,266608.032
GHA,Ghana,288,2021,27,female,252255.90399999998
GHA,Ghana,288,2021,27,male,259561.63200000004
GHA,Ghana,288,2021,28,female,246896.22400000002
GHA,Ghana,288,2021,28,male,252343.232
GHA,Ghana,288,2021,29,female,241819.68
GHA,Ghana,288,2021,29,male,245018.912
GHA,Ghana,288,2021,30,female,236731.808
GHA,Ghana,288,2021,30,male,237696.35199999998
GHA,Ghana,288,2021,31,female,231591.96800000002
GHA,Ghana,288,2021,31,male,230373.02399999998
GHA,Ghana,288,2021,32,female,226817.248
GHA,Ghana,288,2021,32,male,223127.424
GHA,Ghana,288,2021,33,female,222553.568
GHA,Ghana,288,2021,33,male,216015.904
GHA,Ghana,288,2021,34,female,218565.408
GHA,Ghana,288,2021,34,male,209027.296
GHA,Ghana,288,2021,35,female,214511.808
GHA,Ghana,288,2021,35,male,202095.52
GHA,Ghana,288,2022,15,female,208734.272
GHA,Ghana,288,2022,15,male,218496.192
GHA,Ghana,288,2022,16,female,305182.62399999995
GHA,Ghana,288,2022,16,male,319442.304
GHA,Ghana,288,2022,17,female,367007.744
GHA,Ghana,288,2022,17,male,383584.864
GHA,Ghana,288,2022,18,female,371747.10400000005
GHA,Ghana,288,2022,18,male,387141.184
GHA,Ghana,288,2022,19,female,339428.256
GHA,Ghana,288,2022,19,male,351375.456
GHA,Ghana,288,2022,20,female,321416.73600000003
GHA,Ghana,288,2022,20,male,334979.45599999995
GHA,Ghana,288,2022,21,female,295359.90400000004
GHA,Ghana,288,2022,21,male,307608.416
GHA,Ghana,288,2022,22,female,275097.664
GHA,Ghana,288,2022,22,male,286224.416
GHA,Ghana,288,2022,23,female,269122.624
GHA,Ghana,288,2022,23,male,279686.81600000005
GHA,Ghana,288,2022,24,female,271763.072
GHA,Ghana,288,2022,24,male,282040.89599999995
GHA,Ghana,288,2022,25,female,268866.816
GHA,Ghana,288,2022,25,male,278505.184
GHA,Ghana,288,2022,26,female,263278.84800000006
GHA,Ghana,288,2022,26,male,272075.104
GHA,Ghana,288,2022,27,female,257735.48800000004
GHA,Ghana,288,2022,27,male,265375.904
GHA,Ghana,288,2022,28,female,252194.52800000002
GHA,Ghana,288,2022,28,male,258255.10399999996
GHA,Ghana,288,2022,29,female,246704.32
GHA,Ghana,288,2022,29,male,250868.704
GHA,Ghana,288,2022,30,female,241286.816
GHA,Ghana,288,2022,30,male,243539.74399999998
GHA,Ghana,288,2022,31,female,235855.296
GHA,Ghana,288,2022,31,male,236221.08800000002
GHA,Ghana,288,2022,32,female,230807.456
GHA,Ghana,288,2022,32,male,228973.88799999998
GHA,Ghana,288,2022,33,female,226316.896
GHA,Ghana,288,2022,33,male,221866.848
GHA,Ghana,288,2022,34,female,222153.53599999996
GHA,Ghana,288,2022,34,male,214878.43199999997
GHA,Ghana,288,2022,35,female,217920.576
GHA,Ghana,288,2022,35,male,207924.16
GHA,Ghana,288,2023,15,female,213885.248
GHA,Ghana,288,2023,15,male,223920.92799999999
GHA,Ghana,288,2023,16,female,312774.496
GHA,Ghana,288,2023,16,male,327457.85599999997
GHA,Ghana,288,2023,17,female,375933.376
GHA,Ghana,288,2023,17,male,392951.296
GHA,Ghana,288,2023,18,female,380210.016
GHA,Ghana,288,2023,18,male,395852.576
GHA,Ghana,288,2023,19,female,346296.86399999994
GHA,Ghana,288,2023,19,male,358177.344
GHA,Ghana,288,2023,20,female,327392.54400000005
GHA,Ghana,288,2023,20,male,341019.904
GHA,Ghana,288,2023,21,female,300013.056
GHA,Ghana,288,2023,21,male,312233.824
GHA,Ghana,288,2023,22,female,278910.496
GHA,Ghana,288,2023,22,male,289961.82399999996
GHA,Ghana,288,2023,23,female,272989.53599999996
GHA,Ghana,288,2023,23,male,283502.62399999995
GHA,Ghana,288,2023,24,female,276234.368
GHA,Ghana,288,2023,24,male,286541.824
GHA,Ghana,288,2023,25,female,273755.424
GHA,Ghana,288,2023,25,male,283502.176
GHA,Ghana,288,2023,26,female,268567.71200000006
GHA,Ghana,288,2023,26,male,277542.176
GHA,Ghana,288,2023,27,female,263215.072
GHA,Ghana,288,2023,27,male,271190.17600000004
GHA,Ghana,288,2023,28,female,257492.83200000002
